Date,Airline,Flight,From,To,Dep Terminal,Dep Gate,Arr Terminal,Arr Gate,Canceled,Diverted To,Gate Departure (Scheduled),Gate Departure (Actual),Take off (Scheduled),Take off (Actual),Landing (Scheduled),Landing (Actual),Gate Arrival (Scheduled),Gate Arrival (Actual),Aircraft Type Name,Tail Number,PNR,Seat,Seat Type,Cabin Class,Flight Reason,Notes,Flight Flighty ID,Airline Flighty ID,Departure Airport Flighty ID,Arrival Airport Flighty ID,Diverted To Airport Flighty ID,Aircraft Type Flighty ID
2026-04-12,VOZ,895,MEL,SYD,3,9,2,31,false,,2026-04-12T20:30,2026-04-12T21:54,,,,,2026-04-12T21:55,,Boeing 737-800,,,,,,,,ff08f7f8-dcd1-4a1b-ae59-4548055cc453,2b596251-7ba3-4470-a4bf-845085839443,abdb643a-f7ba-4564-a003-40b64a7a01b2,958827d6-30b4-4f21-9da2-e2e5c43635d0,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2026-04-13,VOZ,883,MEL,SYD,3,9,2,43,false,,2026-04-13T19:00,2026-04-13T19:13,,,,,2026-04-13T20:25,2026-04-13T20:36,Boeing 737-800,,,,,,,,f92a615e-7a9a-428c-b4e7-45100a23d371,2b596251-7ba3-4470-a4bf-845085839443,abdb643a-f7ba-4564-a003-40b64a7a01b2,958827d6-30b4-4f21-9da2-e2e5c43635d0,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2026-04-24,VOZ,404,SYD,ADL,T2,38,T1,13,false,,2026-04-24T07:15,2026-04-24T07:13,,,,,2026-04-24T08:55,2026-04-24T08:43,Boeing 737-800,,,,,,,,85693531-1983-4d69-972f-4cebcf2682ce,2b596251-7ba3-4470-a4bf-845085839443,958827d6-30b4-4f21-9da2-e2e5c43635d0,1c7e3065-d898-47d3-ab7f-7c1dbc15ca9e,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2026-04-27,VOZ,429,ADL,SYD,1,16,2,40,false,,2026-04-27T16:30,2026-04-27T16:34,,,,,2026-04-27T18:50,2026-04-27T18:57,Boeing 737-800,,,,,,,,3db09f31-1ac6-4b26-8275-b552ad549734,2b596251-7ba3-4470-a4bf-845085839443,1c7e3065-d898-47d3-ab7f-7c1dbc15ca9e,958827d6-30b4-4f21-9da2-e2e5c43635d0,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2026-05-31,MAS,250,SYD,KUL,T1,56,T1,C27,false,,2026-05-31T09:15,2026-05-31T09:08,,,,,2026-05-31T16:00,2026-05-31T16:00,Airbus A330-900neo,,FIV4IT,,,,,,30d3afb3-7188-4992-ab06-2143319a660d,dc2ed26b-76e6-430d-9989-73e5c1ea849a,958827d6-30b4-4f21-9da2-e2e5c43635d0,d0ed4e28-88b7-4a15-ba4e-bb366458975a,,5b8cd90f-0c27-41d1-a4de-e80184085fd2
2026-05-31,MAS,9202,KUL,HKG,1,C32,1,,false,,2026-05-31T17:40,2026-05-31T17:33,,,,,2026-05-31T22:00,2026-05-31T21:30,Airbus A330-300,,FIV4IT,,,,,,ea4dbcb4-1222-47b1-a80a-630dc68bd100,dc2ed26b-76e6-430d-9989-73e5c1ea849a,d0ed4e28-88b7-4a15-ba4e-bb366458975a,7da61aa8-3d56-411b-8be5-50a198e86c60,,6eab475b-ae92-46cd-a1b8-66937c85f7cc
2026-06-04,MAS,73,HKG,KUL,1,27,1,C31,false,,2026-06-04T14:35,2026-06-04T14:34,,,,,2026-06-04T18:30,2026-06-04T18:23,Boeing 737 MAX 8,,FIV4IT,,,,,,4c4b5227-6e5b-40a2-adf8-715d63e6bc72,dc2ed26b-76e6-430d-9989-73e5c1ea849a,7da61aa8-3d56-411b-8be5-50a198e86c60,d0ed4e28-88b7-4a15-ba4e-bb366458975a,,5ee1c1db-bf8c-475a-99b0-262bbc7a50b2
2026-06-04,MAS,251,KUL,SYD,1,C34,1,56,false,,2026-06-04T20:00,2026-06-04T20:00,,,,,2026-06-05T06:25,2026-06-05T06:26,Airbus A330-900neo,,FIV4IT,,,,,,6a2c02fd-08fc-4f39-838c-af8ce6c424f0,dc2ed26b-76e6-430d-9989-73e5c1ea849a,d0ed4e28-88b7-4a15-ba4e-bb366458975a,958827d6-30b4-4f21-9da2-e2e5c43635d0,,5b8cd90f-0c27-41d1-a4de-e80184085fd2
2026-08-27,LAN,810,SYD,SCL,1,,2,,false,,2026-08-27T11:45,,,,,,2026-08-27T10:30,,Boeing 787-9,,,,,,,,5da317f1-f84b-4c91-8874-8d92c970145e,ce84921d-eb9e-4443-8925-a9923a70dcd1,958827d6-30b4-4f21-9da2-e2e5c43635d0,3bec8958-b68e-4e4b-9e12-cb5ccf89bc63,,c4910e5e-2c05-4d17-bc08-fa0c8c0b77d9
2026-08-30,LAN,455,SCL,AEP,2,,,,false,,2026-08-30T11:47,,,,,,2026-08-30T14:50,,Airbus A320,,,,,,,,d7496d6e-9581-4631-aee1-2895ad47ee05,ce84921d-eb9e-4443-8925-a9923a70dcd1,3bec8958-b68e-4e4b-9e12-cb5ccf89bc63,33907bef-b4c2-4df2-b464-52f95c71fed3,,63155468-7f9d-4f33-8e5d-c0bf2edd2987
